City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kayerkan,RU,69.35,87.76,53.6,71,99,11.18,overcast clouds
83,Grand-Santi,GF,4.25,-54.38,75.85,90,81,0.54,moderate rain
84,Shenjiamen,CN,29.96,122.3,77.74,89,99,10.54,light rain
85,Los Llanos De Aridane,ES,28.66,-17.92,75.2,83,100,9.17,overcast clouds
86,Pandan,PH,14.05,124.17,81.41,82,100,10.76,moderate rain
87,Tura,IN,25.52,90.22,74.26,98,100,6.11,moderate rain
88,Fairbanks,US,64.84,-147.72,59.0,54,40,3.36,scattered clouds
89,Uttarkashi,IN,30.73,78.45,68.65,71,69,1.63,broken clouds
90,Chuy,UY,-33.7,-53.46,51.55,81,40,6.87,scattered clouds
91,Port Alfred,ZA,-33.59,26.89,59.86,79,99,14.32,overcast clouds
92,Chokurdakh,RU,70.63,147.92,38.71,83,98,8.7,overcast clouds
93,Aksu,CN,41.12,80.26,65.26,35,8,6.67,clear sky
94,Norman Wells,CA,65.28,-126.83,48.2,57,20,11.41,few clouds
95,Jasper,US,37.2,-94.35,84.2,45,20,5.82,few clouds
96,Chebsara,RU,59.2,38.84,42.35,94,1,6.82,clear sky
97,Saint George,US,37.1,-113.58,96.8,7,1,4.7,clear sky
98,Leningradskiy,RU,69.38,178.42,38.64,90,100,10.6,overcast clouds
99,Kruisfontein,ZA,-34.0,24.73,50.0,89,1,2.57,clear sky
100,Pitimbu,BR,-7.47,-34.81,75.2,88,1,9.17,clear sky
101,Griffith,US,41.53,-87.42,79.0,53,1,9.17,clear sky
102,Yangambi,CD,0.81,24.43,70.39,98,40,2.15,scattered clouds
103,Flinders,AU,-34.58,150.86,64.0,92,0,4.0,clear sky
104,Faanui,PF,-16.48,-151.75,78.03,77,0,14.32,clear sky
105,Vostochnyy,RU,55.82,37.87,52.0,81,0,8.95,clear sky
106,Wamba,NG,8.93,8.6,72.9,93,72,2.68,light rain
107,Buraydah,SA,26.33,43.98,86.0,20,0,9.17,clear sky
108,Rypefjord,NO,70.63,23.67,44.6,93,40,6.93,scattered clouds
109,Sosnovo-Ozerskoye,RU,52.52,111.54,36.66,90,45,1.97,scattered clouds
110,Mozarlandia,BR,-14.74,-50.57,87.71,21,0,4.25,clear sky
111,Arshan,RU,46.27,44.22,60.8,48,0,11.18,clear sky
112,Brokopondo,SR,4.75,-55.17,81.97,75,59,8.28,broken clouds
113,Bethel,US,41.37,-73.41,63.0,48,1,3.36,clear sky
114,Pangnirtung,CA,66.15,-65.71,42.8,52,40,10.29,scattered clouds
115,Seddon,AU,-37.81,144.89,57.99,62,100,18.34,overcast clouds
116,Indiaroba,BR,-11.52,-37.51,71.73,91,22,5.55,light rain
117,Muros,ES,42.78,-9.06,62.01,91,35,1.01,scattered clouds
118,Cockburn Town,TC,21.46,-71.14,86.0,66,40,11.41,scattered clouds
119,Maldonado,UY,-34.67,-54.92,53.6,81,67,4.7,broken clouds
120,Pevek,RU,69.7,170.31,42.28,83,98,5.41,overcast clouds
121,Irbil,IQ,36.19,44.01,77.0,16,0,3.36,clear sky
122,Carmaux,FR,44.05,2.16,71.01,66,2,4.32,clear sky
123,Gat,IL,31.61,34.76,81.0,100,0,2.8,clear sky
124,Hobart,AU,-42.88,147.33,52.0,71,75,4.7,broken clouds
125,Pergamino,AR,-33.89,-60.57,59.0,46,45,1.01,scattered clouds
126,Novaya Ladoga,RU,60.1,32.3,49.59,83,81,3.85,broken clouds
127,Drayton Valley,CA,53.22,-114.99,50.0,71,92,5.01,overcast clouds
128,Pano Aqil,PK,27.86,69.11,84.2,79,40,1.7,haze
129,Pisco,PE,-13.7,-76.22,64.99,77,59,18.34,broken clouds
130,Calabozo,VE,8.92,-67.43,81.64,85,74,3.83,light rain
131,Seoul,KR,37.57,126.98,71.6,83,90,3.83,overcast clouds
132,Sitka,US,57.05,-135.33,57.2,67,1,4.7,clear sky
133,Plainview,US,40.78,-73.47,64.99,59,1,10.29,clear sky
134,Les Cayes,HT,18.2,-73.75,84.7,70,54,3.76,light rain
135,Launceston,AU,-41.45,147.17,53.01,81,75,12.75,broken clouds
136,Phalaborwa,ZA,-23.94,31.14,68.0,88,10,14.99,clear sky
137,Grand Gaube,MU,-20.01,57.66,68.0,65,95,5.01,light rain
138,Narsaq,GL,60.92,-46.05,50.0,87,100,12.75,light intensity drizzle
139,Varhaug,NO,58.61,5.65,55.0,99,85,3.02,overcast clouds
140,Saint-Philippe,RE,-21.36,55.77,66.2,59,90,9.17,overcast clouds
141,Kandrian,PG,-6.22,149.55,81.09,79,100,9.57,overcast clouds
142,The Valley,AI,18.22,-63.06,86.0,70,20,12.75,few clouds
143,Hermanus,ZA,-34.42,19.23,46.0,92,30,7.02,scattered clouds
144,Kendari,ID,-3.94,122.5,69.57,90,62,3.67,broken clouds
145,Saskylakh,RU,71.92,114.08,44.89,77,83,5.82,broken clouds
146,Chicama,PE,-7.84,-79.15,63.97,74,15,7.34,few clouds
147,Itoman,JP,26.12,127.67,82.4,83,40,2.24,scattered clouds
148,Bansko,BG,41.84,23.49,64.99,58,94,3.0,overcast clouds
149,Ribeira Grande,PT,38.52,-28.7,66.0,60,60,14.2,broken clouds
150,Jamestown,US,42.1,-79.24,64.99,55,1,4.7,clear sky
151,Acapulco,MX,16.86,-99.89,84.2,79,75,4.7,broken clouds
152,Margate,GB,51.38,1.39,70.0,85,63,7.11,broken clouds
153,Castro,BR,-24.79,-50.01,57.43,80,75,7.02,broken clouds
154,Bambanglipuro,ID,-7.95,110.28,71.94,90,42,2.42,scattered clouds
155,Provideniya,RU,64.38,-173.3,50.0,81,75,11.18,broken clouds
156,Port-Cartier,CA,50.03,-66.87,48.0,75,75,6.93,broken clouds
157,Omsukchan,RU,62.53,155.8,41.94,76,100,4.52,overcast clouds
158,Nantucket,US,41.28,-70.1,60.8,59,1,5.82,clear sky
159,Palmer,US,42.16,-72.33,63.0,45,90,2.68,smoke
160,Saint-Augustin,CA,51.23,-58.65,47.71,53,49,9.13,scattered clouds
161,El Cobre,CU,20.05,-75.95,86.0,74,40,5.82,scattered clouds
162,Road Town,VG,18.42,-64.62,86.0,74,40,6.93,scattered clouds
163,Arraial Do Cabo,BR,-22.97,-42.03,71.6,88,75,9.17,broken clouds
164,Aksarka,RU,66.56,67.8,45.91,92,85,5.23,overcast clouds
165,Boralday,KZ,43.36,76.86,50.0,71,41,4.47,scattered clouds
166,Port Elizabeth,ZA,-33.92,25.57,59.0,77,90,6.93,overcast clouds
167,Opuwo,NA,-18.06,13.84,55.0,39,0,3.0,clear sky
168,Guozhen,CN,34.37,107.36,64.78,47,92,1.5,overcast clouds
169,Nyurba,RU,63.28,118.33,45.05,87,58,1.54,broken clouds
170,Nome,US,64.5,-165.41,48.99,93,90,20.8,light rain
171,Sulangan,PH,11.14,123.72,81.7,82,100,19.71,light rain
172,Kodiak,US,57.79,-152.41,54.34,94,94,13.91,light rain
173,Puerto Madero,MX,14.72,-92.42,84.2,83,75,4.7,broken clouds
174,Marsh Harbour,BS,26.54,-77.06,83.61,67,66,8.61,broken clouds
175,Bredasdorp,ZA,-34.53,20.04,51.8,76,30,3.36,scattered clouds
176,Ahipara,NZ,-35.17,173.17,60.8,68,12,12.17,few clouds
177,Mouzouras,GR,35.53,24.15,73.4,78,20,4.7,few clouds
178,Severo-Kurilsk,RU,50.68,156.12,55.13,69,51,13.89,broken clouds
179,Kutum,SD,14.2,24.67,76.96,50,6,5.77,clear sky
180,Soyo,AO,-6.13,12.37,72.91,85,24,8.43,few clouds
181,Kapuskasing,CA,49.42,-82.43,48.2,100,90,5.82,light rain
182,Sale,MA,34.04,-6.82,72.0,88,75,5.82,broken clouds
183,Ilulissat,GL,69.22,-51.1,46.4,49,100,18.34,overcast clouds
184,Hasaki,JP,35.73,140.83,72.0,94,75,6.93,broken clouds
185,Lasa,IT,46.62,10.7,59.0,93,5,1.12,clear sky
186,Roanoke,US,37.27,-79.94,68.0,56,90,6.93,overcast clouds
187,New Norfolk,AU,-42.78,147.06,52.0,66,100,7.0,overcast clouds
188,Santa Maria,BR,-29.68,-53.81,55.4,87,90,4.7,heavy intensity rain
189,Bagn,NO,60.82,9.55,54.0,93,100,1.99,overcast clouds
190,Tuatapere,NZ,-46.13,167.68,50.0,79,100,11.99,overcast clouds
191,Planaltina,BR,-15.45,-47.61,78.8,26,0,9.17,clear sky
192,Preobrazheniye,RU,42.9,133.91,63.1,85,100,3.31,overcast clouds
193,Hofn,IS,64.25,-15.21,49.23,62,19,4.14,few clouds
194,Yola,NG,9.2,12.48,75.02,90,92,2.37,moderate rain
195,Kiunga,PG,-6.12,141.29,76.08,95,92,3.87,overcast clouds
196,Manado,ID,1.49,124.85,75.2,88,40,2.33,scattered clouds
197,Tilichiki,RU,60.47,166.1,47.34,70,12,8.48,few clouds
198,Saint Anthony,US,45.02,-93.22,81.0,42,1,11.41,clear sky
199,Dmitriyevka,RU,54.75,55.33,46.4,87,75,11.18,broken clouds
200,Arlit,NE,18.74,7.39,96.8,13,0,11.5,clear sky
201,Klaksvik,FO,62.23,-6.59,41.0,100,21,2.24,few clouds
202,Jalingo,NG,8.88,11.37,74.97,91,99,1.5,light rain
203,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,83,40,17.22,scattered clouds
204,Sangueya,GN,10.7,-14.37,74.84,95,100,3.74,overcast clouds
205,Damghan,IR,36.17,54.35,58.28,49,0,2.06,clear sky
206,Minusinsk,RU,53.71,91.69,39.2,93,51,1.99,broken clouds
207,Sindhnur,IN,15.78,76.77,73.58,89,100,12.46,moderate rain
208,Buin,CL,-33.73,-70.75,61.0,62,75,5.82,broken clouds
209,Fortuna,US,40.6,-124.16,79.0,61,20,12.75,few clouds
210,Sao Felix Do Xingu,BR,-6.64,-51.99,86.45,25,100,1.9,overcast clouds
211,Yichun,CN,47.7,128.9,56.28,84,100,6.11,moderate rain
212,Guaruja,BR,-23.99,-46.26,69.01,100,90,8.63,light intensity drizzle
213,Nieuw Amsterdam,SR,5.88,-55.08,82.4,78,75,4.7,heavy intensity rain
214,Saint-Joseph,RE,-21.37,55.62,66.2,59,90,9.17,overcast clouds
215,Sayyan,YE,15.17,44.32,63.57,42,18,1.48,few clouds
216,Caravelas,BR,-17.71,-39.25,72.48,90,0,5.26,clear sky
217,Broome,US,42.25,-75.83,61.0,47,1,3.36,clear sky
218,Kavieng,PG,-2.57,150.8,83.39,79,90,18.57,moderate rain
219,Cherskiy,RU,68.75,161.3,43.47,76,96,3.15,overcast clouds
220,Terney,RU,45.05,136.61,62.85,87,100,3.38,overcast clouds
221,East London,ZA,-33.02,27.91,61.09,80,100,10.51,light rain
222,Barguzin,RU,53.62,109.62,43.27,80,13,1.95,few clouds
223,Jalu,LY,29.03,21.55,86.36,28,2,13.13,clear sky
224,Gladstone,AU,-23.85,151.25,68.0,72,90,10.29,overcast clouds
225,Kalmunai,LK,7.42,81.82,79.63,76,100,7.14,overcast clouds
226,Antofagasta,CL,-23.65,-70.4,59.0,72,75,18.34,broken clouds
227,Celestun,MX,20.87,-90.4,85.15,74,28,8.9,scattered clouds
228,Bengkulu,ID,-3.8,102.27,74.52,90,81,4.76,broken clouds
229,Awbari,LY,26.59,12.78,76.77,34,9,6.08,clear sky
230,Praia Da Vitoria,PT,38.73,-27.07,66.2,59,20,17.29,few clouds
231,Coquimbo,CL,-29.95,-71.34,53.6,76,75,6.93,broken clouds
232,Sambava,MG,-14.27,50.17,68.58,82,84,12.53,broken clouds
