City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,San Cristobal,VE,82.4,broken clouds,7.77,-72.22,Pirineos
271,Wildwood,US,79.0,overcast clouds,38.58,-90.66,The Wildwood Hotel
272,Sao Filipe,CV,79.75,broken clouds,14.9,-24.5,Tortuga B&B
278,Galle,LK,79.34,broken clouds,6.04,80.22,Amangalla
281,La Asuncion,VE,82.22,overcast clouds,11.03,-63.86,Colinas de Matasiete
282,Kavaratti,IN,81.39,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
284,Tutoia,BR,79.57,scattered clouds,-2.76,-42.27,Pousada Guará's
286,Wanning,CN,80.64,overcast clouds,18.8,110.4,Paradise Hotel
291,Boa Vista,BR,80.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
292,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
293,Guerrero Negro,MX,86.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
300,Najran,SA,80.6,clear sky,17.49,44.13,محمد هادي ال فطيح
303,Russell,US,77.0,light rain,32.35,-85.2,Macs
305,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
309,Cururupu,BR,75.94,scattered clouds,-1.83,-44.87,Pousada Través'cia
310,Ipora,BR,78.78,clear sky,-16.44,-51.12,Oásis Motel
311,Nguru,NG,80.69,clear sky,12.88,10.45,Government Lodge
314,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
315,Diamantino,BR,83.95,clear sky,-14.41,-56.45,Hotel Delta
320,Tateyama,JP,75.0,broken clouds,34.98,139.87,Tateyama Seaside Hotel
326,Tzucacab,MX,85.78,overcast clouds,20.07,-89.05,CASA MORALES
329,Uniara,IN,83.12,broken clouds,26.15,75.22,Sharma Restaurant(vikash Sharma)
330,Michigan City,US,75.99,clear sky,41.71,-86.89,Microtel Inn & Suites by Wyndham Michigan City
336,Pasighat,IN,75.61,overcast clouds,28.07,95.33,Siang Guest House
339,Victoria,HK,82.99,light rain,22.29,114.16,Mini Hotel Central
341,Lahij,YE,88.66,scattered clouds,13.17,44.58,
343,Luangwa,ZM,75.69,broken clouds,-15.62,30.42,Gerasimos Safari Lodge
344,Lockport,US,79.0,clear sky,41.59,-88.06,Big Run Wolf Ranch
345,Fayetteville,US,75.2,clear sky,35.05,-78.88,American Eagle Inn
346,Saucillo,MX,80.76,few clouds,28.02,-105.28,Hotel La Posada de San Judas Tadeo
347,Kinango,KE,77.0,scattered clouds,-4.14,39.32,Moonlit Inn Kinango
351,Rancharia,BR,82.4,clear sky,-22.23,-50.89,Eros Motel
352,Donceel,BE,78.8,overcast clouds,50.65,5.32,Le Château De Limont
359,La Libertad,EC,75.2,scattered clouds,-2.23,-80.9,Playa Canela Hotel Boutique
